X,Y,FID,ID,Name,EmplRange,NAICSCode,NAICSTitle,NAICSDescr,Phone,Fax,TollFree,EMail,WebAddress,StreetNo,StreetName,PostalCode,BuildingNo,UnitNo,Modified,CHArea,Ward,BIA,PIN_1
-79.67510904,43.62729178,19,2839,GHD,50 to 99,541330,Professional,Engineering Services,905-712-0510,905-712-0515, , ,www.ghd.com,111,Brunel Rd,L4Z 1X3, ,200,2018/12/30 00:00:00+00,Gateway EA (East),5, ,5142800
-79.67354615,43.62692544,20,2845,Philcos Inc.,10 to 19,414110,Wholesale,Clothing and Clothing Accessories Wholesaler-Distributors,905-568-1823,905-568-3047,1-800-315-7625,info@philcos.com,www.philcos.com,120,Brunel Rd,L4Z 1T5, , ,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5169300
-79.74112007,43.58526963,21,2852,Insushi Japanese & Korean,1 to 4,722511,Accommodation,Full-service restaurants,905-567-7890, , , ,www.sushiinsushi.ca,2310,Battleford Rd,L5N 3K6, ,5,2017/05/02 00:00:00+00,Meadowvale Business Park CC,11, ,4330300
-79.67475893,43.62755315,22,2858,Queen’s College of Business  Technology & Public Safety,100 to 299,611210,Educational,Community Colleges and C.E.G.E.P.s,905-890-7833,905-507-1195, ,info@queenscollege.ca,www.queenscollege.ca,121,Brunel Rd,L4Z 3E9, , ,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5142900
-79.67446865,43.62777803,23,2861,St. Clair College - Acumen,20 to 49,611710,Educational,Educational Support Services,905-232-0196,416-756-2732, ,Info.mississauga@canadaacumen.ca,www.canadaacumen.ca,131,Brunel Rd,L4Z 1X3, , ,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5173000
-79.74752587,43.59468329,24,2872,Kinder Kampus,20 to 49,624410,Health Care,Child Day-Care Services,905-567-1111,905-567-0694, ,kindercampus1@bellnet.ca,www.kindercampasontario.ca,6685,Millcreek Dr,L5N 5M5, ,10,2019/12/12 00:00:00+00,Meadowvale Business Park CC,9, ,4331600
-79.67533101,43.62906816,25,2875,MILLO Kitchen and Bath Studio,10 to 19,238390,Construction,Other Building Finishing Contractors,905-712-0234,905-712-0200,1-855-561-4490,info@milolkitchens.ca,www.milolkitchens.ca,150,Britannia Rd E,L4Z 2A4, ,14&15,2022/07/29 00:00:00+00,Gateway EA (East),5, ,5211800
-79.67388139,43.62860781,26,2876,Classic Spa Massage,20 to 49,812190,Other Services,Other Personal Care Services,905-568-3839, , , ,www.classicspa.net,151,Brunel Rd,L4Z 2H6, ,6,2022/07/29 00:00:00+00,Gateway EA (East),5, ,5172800
-79.67388139,43.62860781,27,2881,Pane E Vino Ristorante,1 to 4,722512,Accommodation,Limited-service eating places,905-502-5656,905-502-6363, ,info@pane-vino.ca,www.pane-vino.ca,151,Brunel Rd,L4Z 2H6, ,14&15,2022/07/29 00:00:00+00,Gateway EA (East),5, ,5172800
-79.67388139,43.62860781,28,2882,Cleaning Authority  The,10 to 19,561722,Administrative,Janitorial Services (except Window Cleaning),905-502-9595, , , ,www.etobicoke.thecleaningauthority.ca,151,Brunel Rd,L4Z 2H6, ,7 & 8,2022/07/29 00:00:00+00,Gateway EA (East),5, ,5172800
-79.67388139,43.62860781,29,2885,A G Mining Equipment Inc.,1 to 4,417910,Wholesale,Office and Store Machinery and Equipment Wholesaler-Distributors,905-502-5878,905-502-5879, ,equipos@bellnet.ca, ,151,Brunel Rd,L4Z 2H6, ,1,2022/07/29 00:00:00+00,Gateway EA (East),5, ,5172800
-79.67388139,43.62860781,30,2886,Flangemart Hydraulic,1 to 4,416120,Wholesale,Plumbing  Heating and Air-Conditioning Equipment and Supplies Wholesaler-Distributors,416-800-9632,416-800-7385, ,songkun@eversongflange.com,www.flangemart.net,151,Brunel Rd,L4Z 2H6, ,4,2022/07/29 00:00:00+00,Gateway EA (East),5, ,5172800
-79.67388139,43.62860781,31,2888,A1 Laser Tech Inc.,1 to 4,323119,Manufacturing,Other Printing,905-507-2223, , ,Sales@a1lasertech.ca,www.a1lasertech.ca,151,Brunel Rd,L4Z 2H6, ,27,2022/07/29 00:00:00+00,Gateway EA (East),5, ,5172800
-79.67281551,43.62752847,32,2890,Hermes Abrasives (Canada) Ltd.,5 to 9,327910,Manufacturing,Abrasive Product Manufacturing,905-890-2000,905-890-6190, ,sales.ca@hermesabrasives.com,www.hermesabrasives.com,160,Brunel Rd,L4Z 1T5, ,B,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5169500
-79.67253809,43.62778959,33,2891,Sherwin Williams Company Ltd.,10 to 19,416340,Wholesale,Paint  Glass and Wallpaper Wholesaler-Distributors,905-507-3966,905-507-3969, ,sw8702@sherwin.com,www.sherwin-williams.com,170,Brunel Rd,L4Z 1T5, , ,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5169600
-79.67217771,43.62811656,34,2892,Sherwin-Williams Automotive Finishes Inc.,5 to 9,415290,Wholesale,Other New Motor Vehicle Parts and Accessories Wholesaler-Distributors,905-890-1600,905-890-9463, , ,www.sherwin-automotive.com,180,Brunel Rd,L4Z 1T5, , ,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5169700
-79.67327377,43.62915353,35,2893,Denso Sales Canada Inc.,20 to 49,415290,Wholesale,Other New Motor Vehicle Parts and Accessories Wholesaler-Distributors,905-890-0890,905-890-8474, ,Susan.leary@na.denso.com,www.denso.com/us-ca/en,195,Brunel Rd,L4Z 1X3, , ,2018/12/30 00:00:00+00,Gateway EA (East),5, ,5172700
-79.67160566,43.62860385,36,2895,Global Imaging Inc.,10 to 19,339950,Manufacturing,Sign Manufacturing,905-564-5977,905-624-9897, ,gerald@globalimaging.ca,www.globalimaging.ca,210,Brunel Rd,L4Z 1T5, ,6 to 8,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5169900
-79.67160566,43.62860385,37,2897,Electro Rent L L C,5 to 9,523120,Finance,Securities Brokerage,905-361-0943,905-361-0232,1-800-268-0216,canada.sales@electrorent.com,www.electrorent.com,210,Brunel Rd,L4Z 1T5, ,1&2,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5169900
-79.67071194,43.63023616,38,2913,Chinese Christian Church,1 to 4,813110,Other Services,Religious Organizations,905-507-6805, , , , ,255,Brunel Rd,L4Z 1X3, , ,2018/12/30 00:00:00+00,Gateway EA (East),5, ,5172500
-79.6699236,43.62950702,39,2915,Electrostatic Coating Equipment (Canada) Ltd.,10 to 19,333990,Manufacturing,All Other General-Purpose Machinery Manufacturing,905-890-1919,905-890-7072,1-877-890-1920,info@ececanada.com,www.ececanada.com,270,Brunel Rd,L4Z 1T5, , ,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5170200
-79.66948315,43.62966397,40,2916,Outlook Eyewear Canada Co.,20 to 49,414410,Wholesale,Jewellery and Watch Wholesaler-Distributors,905-890-1391,905-890-3784, ,customerservice@outlookeyewear.ca,www.outlookeyewear.ca,290,Brunel Rd,L4Z 2C2, , ,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5170300
-79.66902619,43.6298306,41,2917,Nylok Canada (2009) Inc.,5 to 9,417990,Wholesale,All Other Machinery  Equipment and Supplies Wholesaler-Distributors,905-712-9066,1-866-937-3037, ,sales@nylokcanada.com,www.nylokcanada.com,300,Brunel Rd,L4Z 2C2, , ,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5170400
-79.67086474,43.65077751,42,2920,Aviatechnik Corp.,20 to 49,488190,Transportation,Other Support Activities for Air Transportation,905-890-7778, , ,Sales@aviatechnikcorp.com,www.aviatechnikcorp.com,6375,Kestrel Rd,L4G 1T5, , ,2022/05/16 00:00:00+00,Northeast EA (West),5, ,5177700
-79.66743076,43.63041232,43,2923,Atlantic Flooring Distributors Inc.,10 to 19,414320,Wholesale,Floor Covering Wholesaler-Distributors,416-509-0020, , ,dan2008karan@yahoo.ca, ,340,Brunel Rd,L4Z 2C2, ,A,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5170800
-79.78008238,43.6072639,44,2924,CHEP Canada Corp.,100 to 299,321920,Manufacturing,Wood Container and Pallet Manufacturing,905-789-4260,905-789-4279,1-866-261-2437,angela.luo@chep.com,www.chep.com,7400,East Danbro Cres,L5N 8C6, , ,2021/06/15 00:00:00+00,Meadowvale Business Park CC,9, ,19570100
-79.67682174,43.62655302,45,2929,Mississauga Grand Banquet & Event Centre,20 to 49,722320,Accommodation,Caterers,905-501-0043,905-501-0310, ,sales@mississaugagrand.com,www.mississaugagrand.com,35,Brunel Rd,L4Z 3E8, ,6&7,2022/07/15 00:00:00+00,Gateway CC,5, ,5143100
-79.67682174,43.62655302,46,2931,Salt & Pepper Hakka Style Chinese Cuisine,5 to 9,722511,Accommodation,Full-service restaurants,905-568-9900,905-290-1109, ,info@saltpepperbrunel.ca,www.saltpeppermississauga.com,35,Brunel Rd,L4Z 3E8, ,4A & 4B,2022/07/15 00:00:00+00,Gateway CC,5, ,5143100
-79.67682174,43.62655302,47,2933,Nirvana the Flavours of India,10 to 19,722511,Accommodation,Full-service restaurants,905-501-5500, , , ,www.nirvanatheflavoursofindia.com,35,Brunel Rd,L4Z 3E8, ,5,2018/12/30 00:00:00+00,Gateway CC,5, ,5143100
-79.67682174,43.62655302,48,2935,Subway,5 to 9,722512,Accommodation,Limited-service eating places,905-501-0781,905-501-0781,1-877-360-2283,nilpalak@gmail.com,www.subway.com,35,Brunel Rd,L4Z 3E8, ,1,2022/07/15 00:00:00+00,Gateway CC,5, ,5143100
-79.67682174,43.62655302,49,2937,El Sombrero Food Company,5 to 9,722511,Accommodation,Full-service restaurants,905-502-0011, , ,info@elsombrero.ca,www.elsombrero.ca,35,Brunel Rd,L4Z 3E8, ,1A,2022/07/15 00:00:00+00,Gateway CC,5, ,5143100
-79.6669219,43.63059786,50,2940,Spectrol Inc.,20 to 49,322220,Manufacturing,Paper Bag and Coated and Treated Paper Manufacturing,905-890-1020,905-890-1022, ,sales@spectrol.net,www.spectrol.net,350,Brunel Rd,L4Z 2C2, , ,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5170900
-79.66718963,43.63147261,51,2943,Ontario Road Builders Association,10 to 19,813910,Other Services,Business Associations,905-507-1107,905-890-8122, ,info@orba.org,www.orba.org,365,Brunel Rd,L4Z 1Z5, , ,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5171800
-79.66595886,43.63092731,52,2950,Unique Electronics Inc.,20 to 49,335229,Manufacturing,Other Major Appliance Manufacturing,905-795-7785,905-890-3074, ,uniquedisplay@gmail.com, ,380,Brunel Rd,L4Z 2C2, , ,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5171100
-79.66664159,43.63188099,53,2951,The Alzheimers Society of Peel,10 to 19,813310,Other Services,Social Advocacy Organizations,289-632-2273,905-507-1991, ,k.phair@alzheimerpeel.com,www.alzheimerpeel.com,385,Brunel Rd,L4Z 1Z5, , ,2018/12/30 00:00:00+00,Gateway EA (East),5, ,5171600
-79.66625283,43.63207291,54,2952,New Generation Custom Tooling,10 to 19,541810,Professional,Advertising Agencies,905-502-9639, , , , ,395,Brunel Rd,L4Z 1Z5, , ,2022/08/05 00:00:00+00,Gateway EA (East),5, ,5171500
-79.62246604,43.63090778,55,2957,Car Empire Automotive,5 to 9,811121,Other Services,Automotive Body  Paint and Interior Repair and Maintenance,905-212-7727, , ,info@carempireautomotive.ca,www.carempireautomotive.ca,4600,Burgoyne St,L4W 1G1, , ,2022/05/13 00:00:00+00,Northeast EA (West),3, ,2542800
-79.62275602,43.63111416,56,2959,Powertrade Electric Ltd.,5 to 9,416110,Wholesale,Electrical Wiring and Construction Supplies Wholesaler-Distributors,905-238-8277,905-238-0630, ,info@powertradeelectric.com, ,4610,Burgoyne St,L4W 1G1, , ,2022/05/13 00:00:00+00,Northeast EA (West),3, ,2542700
-79.62186986,43.63271791,57,2961,Green Solar World Inc.,1 to 4,417990,Wholesale,All Other Machinery  Equipment and Supplies Wholesaler-Distributors,905-282-9242,905-282-9262, ,greensolarworld@gmail.com, ,4615,Burgoyne St,L4W 1G3, , ,2022/05/13 00:00:00+00,Northeast EA (West),3, ,2542900
-79.5838663,43.59665578,58,2968,C M Nails & Beauty Supply,1 to 4,414520,Wholesale,Toiletries  Cosmetics and Sundries Wholesaler-Distributors,905-290-8368,905-290-8369, ,cmnailssupply@yahoo.com,www.cmnailsupply.com,1105,Queensway E,L4Y 4C1, ,25&26,2022/06/14 00:00:00+00,Dixie EA,1, ,12481300
-79.62186986,43.63271791,59,2969,Modern Concrete Supply,1 to 4,416390,Wholesale,Other Specialty-Line Building Supplies Wholesaler-Distributors,905-282-9688, , ,adam@nucretestudios.com, ,4635,Burgoyne St,L4W 1V9, ,6,2018/12/30 00:00:00+00,Northeast EA (West),3, ,2542900
-79.64936645,43.57910407,60,2977,Pro Martial Arts and Fitness Centre Inc.,10 to 19,611620,Educational,Athletic Instruction,905-276-3945, , ,promartialarts@rogers.com,www.promartialartsfitness.com,3663,Mavis Rd,L5C 2Z2, ,14&15,2019/09/19 00:00:00+00,Fairview NHD,7, ,5328800
-79.62186986,43.63271791,61,2981,New Wall Inc.,1 to 4,442110,Retail,Furniture Stores,905-238-2700,905-238-2701,1-866-770-2111,info@newwall.com,www.newwall.com,4635,Burgoyne St,L4W 1V9, ,12&14,2022/05/13 00:00:00+00,Northeast EA (West),3, ,2542900
-79.62186986,43.63271791,62,2986,Trident Stainless Manufacturing Ltd.,10 to 19,331210,Manufacturing,Iron and Steel Pipes and Tubes Manufacturing from Purchased Steel,905-212-9759,905-212-9761, , , ,4635,Burgoyne St,L4W 1V9, ,17&18,2022/05/13 00:00:00+00,Northeast EA (West),3, ,2542900
-79.62186986,43.63271791,63,2988,Westport Manufacturing,10 to 19,337110,Manufacturing,Wood Kitchen Cabinet and Counter Top Manufacturing,905-282-9939,905-282-9936, ,cburger@west-port.com,www.west-port.com,4635,Burgoyne St,L4W 1V9, ,3-Jan,2022/05/13 00:00:00+00,Northeast EA (West),3, ,2542900
-79.62186986,43.63271791,64,2989,Wecon Systems Ltd.,20 to 49,333920,Manufacturing,Material Handling Equipment Manufacturing,905-624-6499,905-624-0228,1-866-421-4719,tcapraro@weconsystems.com,www.weconsystems.com,4635,Burgoyne St,L4W 1V9, ,11-Jul,2022/05/13 00:00:00+00,Northeast EA (West),3, ,2542900
-79.62186986,43.63271791,65,2991,Debney Industries Ltd.,1 to 4,416120,Wholesale,Plumbing  Heating and Air-Conditioning Equipment and Supplies Wholesaler-Distributors,905-624-0878,905-624-4774, ,debney.ind@gmail.com, ,4635,Burgoyne St,L4W 1V9, ,21&22,2022/05/13 00:00:00+00,Northeast EA (West),3, ,2542900
-79.61095694,43.61422804,66,2994,Commisso Meat,5 to 9,445299,Retail,All Other Specialty Food Stores,905-273-3390, , , , ,1004,Burnhamthorpe Rd E,L4Y 2X6, , ,2022/05/17 00:00:00+00,Applewood NHD,3, ,2384300
-79.61099896,43.61418939,67,2997,Sam Dry Cleaners,1 to 4,812320,Other Services,Dry Cleaning and Laundry Services (except Coin-Operated),905-273-3343, , , , ,998,Burnhamthorpe Rd E,L4Y 2X6, , ,2022/05/17 00:00:00+00,Applewood NHD,3, ,2384200
-79.61082952,43.61434361,68,2998,Shanghai House Chinese Restaurant,1 to 4,722511,Accommodation,Full-service restaurants,905-270-1906, , , , ,1014,Burnhamthorpe Rd E,L4Y 2X6, , ,2017/11/08 00:00:00+00,Applewood NHD,3, ,2384600
-79.61078824,43.61438296,69,2999,Applewood Fish & Chips,1 to 4,722512,Accommodation,Limited-service eating places,905-277-4045, , , , ,1020,Burnhamthorpe Rd E,L4Y 2X6, , ,2017/11/08 00:00:00+00,Applewood NHD,3, ,2384700
-79.61074549,43.61442144,70,3000,Spence's Natural Foods,1 to 4,446191,Retail,Food (Health) Supplement Stores,905-279-0722, , ,Spencesnaturalfoods@gmail.com, ,1022,Burnhamthorpe Rd E,L4Y 2X6, , ,2021/05/14 00:00:00+00,Applewood NHD,3, ,2384800
-79.60478471,43.6211651,71,3004,Humberview Insurance Brokers Inc.,1 to 4,524210,Finance,Insurance Agencies and Brokerages,905-206-0707,905-206-0567, ,humberview@rogers.com,www.humberviewinsurance.ca,1295,Burnhamthorpe Rd E,L4Y 3V7, , ,2018/09/30 00:00:00+00,Rathwood NHD,3, ,2382700
-79.6036734,43.62250683,72,3007,Jiffy Lube Canada,5 to 9,811199,Other Services,All Other Automotive Repair and Maintenance,905-624-9724, , , ,www.jiffylubeontario.com,1349,Burnhamthorpe Rd E,L4Y 3V8, , ,2022/08/29 00:00:00+00,Rathwood-Applewood CN,3, ,2382400
-79.6036734,43.62250683,73,3008,Shell Canada,5 to 9,447110,Retail,Gasoline Stations with Convenience Stores,905-238-0070, , , ,www.shell.ca,1349,Burnhamthorpe Rd E,L4Y 3V8, , ,2022/08/29 00:00:00+00,Rathwood-Applewood CN,3, ,2382400
-79.60132327,43.62297725,74,3010,Dr. Walk - Family Physicians,1 to 4,621110,Health Care,Offices of Physicians,905-624-1597,905-624-6853, , , ,1420,Burnhamthorpe Rd E,L4X 2Z9, ,410,2022/07/05 00:00:00+00,Rathwood-Applewood CN,3, ,2385600
-79.60132327,43.62297725,75,3016,Mississauga Medical - Dr. LeRoy Franklin  T. Jamieson,1 to 4,621110,Health Care,Offices of Physicians,905-625-5185, , ,Ldf@cool1.ca, ,1420,Burnhamthorpe Rd E,L4X 2Z9, ,330-340,2022/07/05 00:00:00+00,Rathwood-Applewood CN,3, ,2385600
-79.60132327,43.62297725,76,3017,Escape Studio Hair & Spa,1 to 4,812116,Other Services,Unisex Hair Salons,647-877-0655, , ,escapestudio21@gmail.com, ,1420,Burnhamthorpe Rd E,L4X 2Z9, ,102,2022/07/05 00:00:00+00,Rathwood-Applewood CN,3, ,2385600
-79.60132327,43.62297725,77,3018,Dr. Paul Malis & Dr. T. Jamieson & Dr.LeRoy Franklin,1 to 4,621110,Health Care,Offices of Physicians,905-625-6813,905-625-9752, ,drmalisoffice@gmail.com, ,1420,Burnhamthorpe Rd E,L4X 2Z9, ,330-340,2022/07/05 00:00:00+00,Rathwood-Applewood CN,3, ,2385600
-79.60132327,43.62297725,78,3021,Dr. A. Markowitz - Clarity Eye Care,1 to 4,621320,Health Care,Offices of Optometrists,905-279-1800, , ,Info@clarityeco.ca,www.clarityeco.ca,1420,Burnhamthorpe Rd E,L4X 2Z9, ,355,2022/07/05 00:00:00+00,Rathwood-Applewood CN,3, ,2385600
-79.60132327,43.62297725,79,3023,Dixie Sports & Physiotherapy Clinic,5 to 9,621340,Health Care,Offices of Physical  Occupational  and Speech Therapists and Audiologists,905-625-9295,905-625-8507, ,dixiesportsphysio@pthealth.com,www.pthealth.com,1420,Burnhamthorpe Rd E,L4X 2Z9, ,225,2017/11/08 00:00:00+00,Rathwood-Applewood CN,3, ,2385600
-79.60132327,43.62297725,80,3024,T G Wellness Clinic,1 to 4,621390,Health Care,Offices of All Other Health Practitioners,905-629-0820, , , ,www.tgwellnessclinic.com,1420,Burnhamthorpe Rd E,L4X 2Z9, ,210,2021/05/14 00:00:00+00,Rathwood-Applewood CN,3, ,2385600
-79.60132327,43.62297725,81,3025,Dr. Leszczynski Dentistry,5 to 9,621210,Health Care,Offices of Dentists,905-206-0855,289-232-1872, ,dr.leszczynskidentistry@gmail.com,www.drleszczynski.com,1420,Burnhamthorpe Rd E,L4X 2Z9, ,200,2022/08/18 00:00:00+00,Rathwood-Applewood CN,3, ,2385600
-79.60132327,43.62297725,82,3026,LifeLabs,10 to 19,621510,Health Care,Medical and Diagnostic Laboratories,905-206-9212,905-795-9891,1-877-849-3637, ,www.lifelabs.com,1420,Burnhamthorpe Rd E,L4X 2Z9, ,105,2022/08/18 00:00:00+00,Rathwood-Applewood CN,3, ,2385600
-79.60132327,43.62297725,83,3028,Eastgate Family Physicians,1 to 4,621110,Health Care,Offices of Physicians,905-625-4016,905-625-7721, , ,www.eastgatefamilyphysicians.ca,1420,Burnhamthorpe Rd E,L4X 2Z9, ,205,2022/07/05 00:00:00+00,Rathwood-Applewood CN,3, ,2385600
-79.60132327,43.62297725,84,3031,Law Office of Evangeline Ancheta,1 to 4,541110,Professional,Offices of Lawyers,647-977-2889,905-232-1088, ,info@ancheta.com,www.anchetalaw.com,1420,Burnhamthorpe Rd E,L4X 2Z9, ,305,2022/08/18 00:00:00+00,Rathwood-Applewood CN,3, ,2385600
-79.59092546,43.6321555,85,3033,Saints Martha and Mary Roman Catholic Church,1 to 4,813110,Other Services,Religious Organizations,905-625-5670,905-624-3080, ,office@stsmarthaandmary.org,www.stsmarthaandmary.org,1870,Burnhamthorpe Rd E,L4X 2S5, , ,2022/08/16 00:00:00+00,Applewood NHD,3, ,2386600
-79.58893874,43.6342515,86,3034,Park Animal Hospital,10 to 19,541940,Professional,Veterinary Services,905-625-5222,905-625-7308, ,jenna@parkanimalhospital.ca,www.parkanimalhospital.ca,1958,Burnhamthorpe Rd E,L4X 2S8, , ,2022/08/17 00:00:00+00,Applewood NHD,3, ,2387100
-79.58709405,43.63789435,87,3035,Sheridan Nurseries,50 to 99,444220,Retail,Nursery Stores and Garden Centres,905-624-3722,905-624-5105, ,Etobicoke@sheridannurseries.com,www.sheridannurseries.com,2069,Burnhamthorpe Rd E,L4X 2S7, , ,2022/08/17 00:00:00+00,Rathwood NHD,3, ,2381300
-79.62672448,43.60268587,88,3046,Central Parkway Lottery Centre,1 to 4,713291,Arts,Lotteries,905-896-7552, , , , ,377,Burnhamthorpe Rd E,L5A 3Y1, ,46,2022/05/16 00:00:00+00,Rathwood NHD,4, ,3531900
-79.62672448,43.60268587,89,3052,Dr. Jide Odusanya-Dentist,1 to 4,621210,Health Care,Offices of Dentists,905-896-9578, , , , ,377,Burnhamthorpe Rd E,L5A 3Y1, ,109,2021/06/10 00:00:00+00,Rathwood NHD,4, ,3531900
-79.62672448,43.60268587,90,3054,Nails For You,5 to 9,812115,Other Services,Beauty Salons,289-521-4677, , , ,www.nailsforyou.ca,377,Burnhamthorpe Rd E,L5A 3Y1, ,14A,2022/05/16 00:00:00+00,Rathwood NHD,4, ,3531900
